"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"12/03/2024","AirNow","060650009","1","5.7","ug/m3 LC","32","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/04/2024","AirNow","060650009","1","8.5","ug/m3 LC","47","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/05/2024","AirNow","060650009","1","8.4","ug/m3 LC","47","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/06/2024","AirNow","060650009","1","7.7","ug/m3 LC","43","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/07/2024","AirNow","060650009","1","4.4","ug/m3 LC","24","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/08/2024","AirNow","060650009","1","6.4","ug/m3 LC","36","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/09/2024","AirNow","060650009","1","7.4","ug/m3 LC","41","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/10/2024","AirNow","060650009","1","0.7","ug/m3 LC","4","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/11/2024","AirNow","060650009","1","6.1","ug/m3 LC","34","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/12/2024","AirNow","060650009","1","6.2","ug/m3 LC","34","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/13/2024","AirNow","060650009","1","4.7","ug/m3 LC","26","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/14/2024","AirNow","060650009","1","6.8","ug/m3 LC","38","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/15/2024","AirNow","060650009","1","5.2","ug/m3 LC","29","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/16/2024","AirNow","060650009","1","5.2","ug/m3 LC","29","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"12/17/2024","AirNow","060650009","1","6.3","ug/m3 LC","35","Pechanga","1","100.0000","88101","PM2.5 - Local Conditions","","","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
